Fund Allocator ID,fill_rate
A7bc2d3,1.0
A7ed594,1.0
A6f42ff,1.0
A722c06,1.0
A72c0d9,1.0
A758776,1.0
A75eb76,1.0
A780765,1.0
A79043d,1.0
A7b4ffd,1.0
A000c43,1.0
A7d911d,1.0
A7e6207,1.0
A825f85,1.0
A471573,1.0
A83c2dd,1.0
A84711b,1.0
A85406a,1.0
A8567d1,1.0
A86b250,1.0
A8bb104,1.0
A8cdb70,1.0
A9b3aeb,1.0
Aa5a4bb,1.0
Aa76711,1.0
Aa98e63,1.0
A6e9d21,1.0
A6e6143,1.0
A6c91e2,1.0
A6bfae0,1.0
A48791b,1.0
A4c5dcd,1.0
A4e3f9d,1.0
A4e4547,1.0
A4e71f3,1.0
A4f0eca,1.0
A4ff743,1.0
A51255c,1.0
A51cf14,1.0
A5479e2,1.0
A557ea2,1.0
A56ea14,1.0
A5a0710,1.0
A6019fe,1.0
A639c17,1.0
A64ed3d,1.0
A6557da,1.0
A666ff0,1.0
A67b879,1.0
A681b8b,1.0
A6a1271,1.0
A6a2745,1.0
A6b418c,1.0
Aabfb4f,1.0
Aae6df0,1.0
Ab1beeb,1.0
Ade1748,1.0
Ae10016,1.0
Ae1bc14,1.0
Ae1ec02,1.0
Ae2a183,1.0
Ae2ca7f,1.0
Ae4d75e,1.0
Ae4f50d,1.0
Ae5aac1,1.0
Ae67360,1.0
Ae6e0df,1.0
Ae848ec,1.0
Ae8bf4c,1.0
Aeedb32,1.0
Af08fa6,1.0
Af14abd,1.0
Af16116,1.0
Af38835,1.0
Af75e33,1.0
Af8d59f,1.0
Af8dafa,1.0
Afa85c1,1.0
Afc4e50,1.0
Aff6f98,1.0
Adeb96a,1.0
Adc57d5,1.0
Ab2a293,1.0
Ada12ca,1.0
Ab781b9,1.0
Ab7a076,1.0
Ab7dccf,1.0
Ab7e680,1.0
Abac9c0,1.0
Abb96b2,1.0
Ac0dd42,1.0
Ac15ed6,1.0
Ac16b86,1.0
Ac1eb23,1.0
Ac6e10f,1.0
Ac71115,1.0
Accb8dc,1.0
Acd9669,1.0
Ace52ab,1.0
Acff5f3,1.0
Ad0fa4d,1.0
Ad10bcf,1.0
Ad18ba4,1.0
Ad1a396,1.0
Ad6af15,1.0
Ad6bb64,1.0
Ad8891c,1.0
A479270,1.0
Affdff0,1.0
A1f6229,1.0
A2cf5a1,1.0
A115be1,1.0
A1f001f,1.0
A2ac41e,1.0
A3e5704,1.0
A2b1837,1.0
A1ecf04,1.0
A11730c,1.0
A11f7a2,1.0
A3cde4b,1.0
A1ea2a3,1.0
A13b1e6,1.0
A1e32ac,1.0
A2ce6c1,1.0
A14ab79,1.0
A1137b9,1.0
A1e1987,1.0
A3bf5bd,1.0
A1e03e2,1.0
A396ea8,1.0
A394dd9,1.0
A36cf78,1.0
A355e2c,1.0
A159f57,1.0
A16c87d,1.0
A31bf6d,1.0
A2d1148,1.0
A1cecbf,1.0
A18cb9a,1.0
A1f3d5e,1.0
A1cae97,1.0
A429e54,1.0
A06207a,1.0
A06c397,1.0
A43c056,1.0
A43502d,1.0
A433d90,1.0
A229eeb,1.0
A23dda7,1.0
A1fd1d1,1.0
A28d8b6,1.0
A4656cb,1.0
A41676f,1.0
A092704,1.0
A21846d,1.0
A0a0599,1.0
A40c919,1.0
A0af6ce,1.0
A0d0dd8,1.0
A208478,1.0
A2a38e9,1.0
A2799f7,1.0
Ab5e21c,0.9996446339729922
A07e679,0.9995421245421247
A8244d8,0.9990476190476191
Af289f4,0.9988322304398599
Ab560d4,0.9987468671679197
A8b56b9,0.9987301587301588
Ad1697b,0.9987153134635148
A153d68,0.9985569985569985
94148b,0.998139880952381
A51d5e4,0.9976883957466481
Af5fed4,0.996947496947497
Afd067a,0.9968183264397072
A9c9bb9,0.9959568733153639
A6f76d1,0.9950738916256158
Abacebf,0.9943609022556391
